Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details",Status,"Availability Date"
"August 26, 2025",Sale,"Payment for Order #3781323589","$38.61 placed in reserve until Oct 10, 2025",USD,$77.21,--,$77.21,--,"Reserve Applied","October 10, 2025"
"August 26, 2025",Fee,"Listing fee","Listing #4338997211",USD,--,-$0.20,-$0.20,--
"August 26, 2025",Fee,"Listing fee","Listing #4340696647",USD,--,-$0.20,-$0.20,--
"August 26, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Aug 25, 2025",USD,--,-$2.33,-$2.33,--
"August 25, 2025",Fee,"Transaction fee: Shipping","Order #3777929764",USD,--,-$0.91,-$0.91,--
"August 25, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3777929764",USD,--,-$2.08,-$2.08,--
"August 25, 2025",Fee,"Transaction fee: Maki Zenin T-Shirt","Order #3777929764",USD,--,-$1.05,-$1.05,--
"August 25, 2025",Fee,"Processing fee","Order #3777929764",USD,--,-$2.12,-$2.12,--
"August 25, 2025",Sale,"Payment for Order #3777929764","$31.10 placed in reserve until Oct 9, 2025",USD,$62.20,--,$62.20,--,"Reserve Applied","October 9, 2025"
"August 25, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Fee,"Listing fee","Listing #4337157532",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Fee,"Transaction fee: Shipping","Order #3780822107",USD,--,-$0.39,-$0.39,--
"August 25, 2025",Fee,"Transaction fee: Jujutsu Kaisen Choso Curse Technique T-S...","Order #3780822107",USD,--,-$2.08,-$2.08,--
"August 25, 2025",Tax,"Sales tax paid by buyer","Order #3780822107",USD,--,-$2.16,-$2.16,--
"August 25, 2025",Fee,"Processing fee","Order #3780822107",USD,--,-$1.46,-$1.46,--
"August 25, 2025",Sale,"Payment for Order #3780822107",,USD,$40.17,--,$40.17,--
"August 25, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
"August 25, 2025",Fee,"Listing fee","Listing #4335999650",USD,--,-$0.20,-$0.20,--
"August 25, 2025",Fee,"Credit for listing fee","Etsy Plus listing credits",USD,--,$0.20,$0.20,--
